# Метеостанция Можайск, Россия, WMO_ID=27509, выборка с 28.03.2018 по 03.04.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27509&lang=ru
#
"Местное время в Можайске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"03.04.2019 21:00";"2.3";"751.9";"769.3";"";"53";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"9.9";"";"";"";"";"";"10.0";"-6.5";"Осадков нет";"12";"";"";"";"";
"03.04.2019 18:00";"8.5";"751.9";"768.9";"";"32";"Ветер, дующий с севера";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-7.5";"Осадков нет";"12";"";"";"";"";
"03.04.2019 15:00";"9.3";"752.8";"769.8";"";"32";"Ветер, дующий с севера";"3";"";"";"40%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-6.5";"";"";"";"";"";"";
"03.04.2019 12:00";"7.5";"754.3";"771.4";"";"40";"Ветер, дующий с северо-запада";"3";"";"";"40%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-5.5";"";"";"";"";"";"";
"03.04.2019 09:00";"2.0";"754.9";"772.4";"";"68";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"-5.3";"";"";"";"";"";"";"10.0";"-3.4";"Осадков нет";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"-3.0";"";"";
"03.04.2019 06:00";"-5.1";"754.8";"772.7";"";"93";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-5.3";"";"";"";"";"";"";"10.0";"-6.1";"Осадков нет";"12";"";"";"";"";
"03.04.2019 03:00";"-4.4";"754.7";"772.6";"";"91";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-5.7";"";"";"";"";"";"";
"03.04.2019 00:00";"-2.8";"754.7";"772.5";"";"83";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-5.4";"";"";"";"";"";"";
"02.04.2019 21:00";"0.7";"754.3";"771.9";"";"59";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"7.9";"";"";"";"";"";"10.0";"-6.5";"Осадков нет";"12";"";"";"";"";
"02.04.2019 18:00";"6.8";"754.0";"771.1";"";"33";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-8.3";"Осадков нет";"12";"";"";"";"";
"02.04.2019 15:00";"7.9";"754.5";"771.6";"";"32";"Ветер, дующий с северо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-8.0";"";"";"";"";"";"";
"02.04.2019 12:00";"6.0";"755.5";"772.8";"";"36";"Ветер, дующий с севера";"3";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-8.2";"";"";"";"";"";"";
"02.04.2019 09:00";"1.7";"755.2";"772.6";"";"72";"Ветер, дующий с северо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"-3.9";"";"";"";"";"";"";"10.0";"-2.8";"Осадков нет";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"-3.0";"";"";
"02.04.2019 06:00";"-3.7";"754.0";"771.8";"";"95";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"-3.9";"";"";"";"";"";"";"10.0";"-4.4";"Осадков нет";"12";"";"";"";"";
"02.04.2019 03:00";"-3.3";"753.0";"770.8";"";"88";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-5.1";"";"";"";"";"";"";
"02.04.2019 00:00";"-1.6";"751.9";"769.6";"";"74";"Ветер, дующий с северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-5.6";"";"";"";"";"";"";
"01.04.2019 21:00";"0.7";"750.5";"768.0";"";"56";"Ветер, дующий с северо-запада";"3";"";"";"50%.";" ";"";"";"";"6.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-7.1";"Следы осадков";"12";"";"";"";"";
"01.04.2019 18:00";"2.5";"748.9";"766.1";"";"64";"Ветер, дующий с северо-северо-запада";"5";"";"15";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-3.7";"Следы осадков";"12";"";"";"";"";
"01.04.2019 15:00";"3.4";"747.8";"765.0";"";"64";"Ветер, дующий с северо-запада";"7";"12";"13";"90  или более, но не 100%";"Облака в целом образовывались или развивались. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-2.9";"";"";"";"";"";"";
"01.04.2019 12:00";"4.1";"745.7";"762.8";"";"58";"Ветер, дующий с западо-северо-запада";"7";"12";"13";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-3.4";"";"";"";"";"";"";
"01.04.2019 09:00";"3.1";"743.8";"760.9";"";"61";"Ветер, дующий с западо-северо-запада";"6";"";"10";"70 – 80%.";" ";"";"";"1.7";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-3.8";"Осадков нет";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"0.0";"";"";
"01.04.2019 06:00";"2.3";"741.7";"758.8";"";"76";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"2.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.6";"Осадков нет";"12";"";"";"";"";
"01.04.2019 03:00";"4.4";"740.2";"757.2";"";"77";"Ветер, дующий с запада";"2";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.7";"";"";"";"";"";"";
"01.04.2019 00:00";"6.1";"739.1";"755.9";"";"79";"Ветер, дующий с западо-северо-запада";"3";"";"12";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.6";"";"";"";"";"";"";
"31.03.2019 21:00";"9.9";"737.5";"754.1";"";"53";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"15.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"0.7";"Осадков нет";"12";"";"";"";"";
"31.03.2019 18:00";"13.2";"737.2";"753.6";"";"40";"Ветер, дующий с юго-юго-запада";"4";"";"11";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-0.1";"Осадков нет";"12";"";"";"";"";
"31.03.2019 15:00";"14.5";"738.4";"754.8";"";"40";"Ветер, дующий с юго-запада";"4";"";"12";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"1.1";"";"";"";"";"";"";
"31.03.2019 12:00";"13.1";"739.6";"756.0";"";"45";"Ветер, дующий с юго-запада";"3";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"1.2";"";"";"";"";"";"";
"31.03.2019 09:00";"6.4";"740.4";"757.2";"";"68";"Ветер, дующий с юго-запада";"3";"";"";"60%.";" ";"";"";"2.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"0.9";"Осадков нет";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"0.0";"";"";
"31.03.2019 06:00";"2.8";"741.1";"758.2";"";"86";"Ветер, дующий с юга";"3";"";"";"90  или более, но не 100%";" ";"";"";"2.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.7";"Осадков нет";"12";"";"";"";"";
"31.03.2019 03:00";"3.2";"742.1";"759.2";"";"85";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"0.9";"";"";"";"";"";"";
